date,sym,time,price,size,qualifier,bid,ask
2013-01-15,BARC.L,08:00:00.000,246.255,930680,Auc,246.25,246.26
2013-01-15,VODl.BS,08:00:00.000,159.415,792110,AUC,159.41,159.42
2013-01-15,BARC.TQ,08:00:28.800,245.54,54800,Auc,245.535,245.545
2013-01-15,VODl.TQ,08:00:28.800,160.537,706840,C,160.532,160.542
2013-01-15,BARC.L,08:00:57.600,245.481,814180,Auc,245.476,245.486
2013-01-15,VODl.TQ,08:00:57.600,159.291,653880,C,159.286,159.296
2013-01-15,BARC.TQ,08:01:26.400,241.214,750090,X,241.209,241.219
2013-01-15,VODl.CHI,08:01:26.400,162.644,899250,a,162.639,162.649
2013-01-15,BARC.L,08:01:55.200,246.705,592260,A,246.7,246.71
2013-01-15,VODl.BS,08:01:55.200,159.233,116100,B,159.228,159.238
2013-01-15,BARCl.CHI,08:02:24.000,242.602,620250,auc,242.597,242.607
2013-01-15,VOD.L,08:02:24.000,162.277,676650,B,162.272,162.282
2013-01-15,BARC.TQ,08:02:52.800,243.901,477870,B,243.896,243.906
2013-01-15,VODl.CHI,08:02:52.800,162.607,521650,a,162.602,162.612
2013-01-15,BARCl.BS,08:03:21.600,247.083,881540,x,247.078,247.088
2013-01-15,VOD.L,08:03:21.600,159.753,363120,m,159.748,159.758
2013-01-15,BARCl.BS,08:03:50.400,243.192,274930,DARK,243.187,243.197
2013-01-15,VOD.L,08:03:50.400,162.777,397990,m,162.772,162.782
2013-01-15,BARC.L,08:04:19.200,241.377,834120,C,241.372,241.382
2013-01-15,VODl.CHI,08:04:19.200,159.099,834930,a,159.094,159.104
2013-01-15,BARCl.CHI,08:04:48.000,242.985,293660,a,242.98,242.99
2013-01-15,VODl.CHI,08:04:48.000,160.486,789150,c,160.481,160.491
2013-01-15,BARCl.BS,08:05:16.800,246.419,264650,DARK,246.414,246.424
2013-01-15,VODl.CHI,08:05:16.800,159.381,303620,DRK,159.376,159.386
2013-01-15,BARC.L,08:05:45.600,247.082,34160,A,247.077,247.087
2013-01-15,VODl.TQ,08:05:45.600,160.048,899240,m,160.043,160.053
2013-01-15,BARCl.CHI,08:06:14.400,246.956,880370,b,246.951,246.961
2013-01-15,VOD.L,08:06:14.400,160.006,322110,m,160.001,160.011
2013-01-15,BARCl.BS,08:06:43.200,243.889,719940,c,243.884,243.894
2013-01-15,VODl.BS,08:06:43.200,159.808,732420,x,159.803,159.813
2013-01-15,BARC.L,08:07:12.000,242.263,674580,B,242.258,242.268
2013-01-15,VODl.TQ,08:07:12.000,159.639,426710,X,159.634,159.644
2013-01-15,BARC.L,08:07:40.800,242.107,736390,m,242.102,242.112
2013-01-15,VOD.L,08:07:40.800,160.009,455750,B,160.004,160.014
2013-01-15,BARCl.CHI,08:08:09.600,245.918,340300,auc,245.913,245.923
2013-01-15,VOD.L,08:08:09.600,160.14,486130,Auc,160.135,160.145
2013-01-15,BARCl.BS,08:08:38.400,246.579,515610,A,246.574,246.584
2013-01-15,VODl.BS,08:08:38.400,160.575,775280,x,160.57,160.58
2013-01-15,BARC.TQ,08:09:07.200,243.501,520500,B,243.496,243.506
2013-01-15,VODl.TQ,08:09:07.200,159.548,593040,m,159.543,159.553
2013-01-15,BARC.TQ,08:09:36.000,246.341,770410,X,246.336,246.346
2013-01-15,VODl.TQ,08:09:36.000,158.98,904610,C,158.975,158.985
2013-01-15,BARC.TQ,08:10:04.800,241.58,105360,X,241.575,241.585
2013-01-15,VOD.L,08:10:04.800,160.398,68320,X,160.393,160.403
2013-01-15,BARC.L,08:10:33.600,241.126,570370,X,241.121,241.131
2013-01-15,VODl.TQ,08:10:33.600,160.132,373100,m,160.127,160.137
2013-01-15,BARC.L,08:11:02.400,244.081,598060,m,244.076,244.086
2013-01-15,VODl.TQ,08:11:02.400,160.921,344840,DARKTRADE,160.916,160.926
2013-01-15,BARC.L,08:11:31.200,244.266,293290,C,244.261,244.271
2013-01-15,VOD.L,08:11:31.200,161.969,307910,DARKTRADE,161.964,161.974
2013-01-15,BARC.TQ,08:12:00.000,243,641230,C,242.995,243.005
2013-01-15,VODl.BS,08:12:00.000,160.77,95190,AUC,160.765,160.775
2013-01-15,BARC.TQ,08:12:28.800,246.851,697400,A,246.846,246.856
2013-01-15,VODl.BS,08:12:28.800,160.386,393530,DARK,160.381,160.391
2013-01-15,BARC.TQ,08:12:57.600,247.083,610680,m,247.078,247.088
2013-01-15,VODl.BS,08:12:57.600,159.635,614640,c,159.63,159.64
2013-01-15,BARCl.BS,08:13:26.400,242.724,553620,AUC,242.719,242.729
2013-01-15,VODl.BS,08:13:26.400,160.407,507380,c,160.402,160.412
2013-01-15,BARC.L,08:13:55.200,241.076,578920,C,241.071,241.081
2013-01-15,VODl.CHI,08:13:55.200,162.817,721270,a,162.812,162.822
2013-01-15,BARC.L,08:14:24.000,241.033,488050,m,241.028,241.038
2013-01-15,VODl.BS,08:14:24.000,159.419,334190,AUC,159.414,159.424
2013-01-15,BARC.TQ,08:14:52.800,243.907,87320,DARKTRADE,243.902,243.912
2013-01-15,VODl.BS,08:14:52.800,162.781,544020,A,162.776,162.786
2013-01-15,BARC.TQ,08:15:21.600,240.957,203820,C,240.952,240.962
2013-01-15,VOD.L,08:15:21.600,160.538,718020,m,160.533,160.543
2013-01-15,BARCl.CHI,08:15:50.400,245.462,157780,a,245.457,245.467
2013-01-15,VODl.BS,08:15:50.400,160.604,154860,DARK,160.599,160.609
2013-01-15,BARCl.BS,08:16:19.200,241.477,421100,A,241.472,241.482
2013-01-15,VOD.L,08:16:19.200,159.399,906490,m,159.394,159.404
2013-01-15,BARC.TQ,08:16:48.000,246.664,604930,Auc,246.659,246.669
2013-01-15,VODl.TQ,08:16:48.000,163.031,364610,Auc,163.026,163.036
2013-01-15,BARCl.CHI,08:17:16.800,243.603,49250,x,243.598,243.608
2013-01-15,VODl.CHI,08:17:16.800,163.01,929290,auc,163.005,163.015
2013-01-15,BARCl.BS,08:17:45.600,244.371,619430,B,244.366,244.376
2013-01-15,VOD.L,08:17:45.600,159.816,910750,C,159.811,159.821
2013-01-15,BARC.L,08:18:14.400,242.407,769200,A,242.402,242.412
2013-01-15,VOD.L,08:18:14.400,159.452,480650,B,159.447,159.457
2013-01-15,BARCl.CHI,08:18:43.200,243.693,998340,DRK,243.688,243.698
2013-01-15,VOD.L,08:18:43.200,158.979,362780,B,158.974,158.984
2013-01-15,BARCl.BS,08:19:12.000,241.968,898920,B,241.963,241.973
2013-01-15,VODl.TQ,08:19:12.000,159.407,820330,m,159.402,159.412
2013-01-15,BARCl.BS,08:19:40.800,241.111,588490,A,241.106,241.116
2013-01-15,VODl.BS,08:19:40.800,159.277,123480,AUC,159.272,159.282
2013-01-15,BARCl.BS,08:20:09.600,240.949,365720,AUC,240.944,240.954
2013-01-15,VOD.L,08:20:09.600,162.655,909270,X,162.65,162.66
2013-01-15,BARCl.BS,08:20:38.400,244.669,685790,c,244.664,244.674
2013-01-15,VODl.CHI,08:20:38.400,160.866,128450,c,160.861,160.871
2013-01-15,BARC.L,08:21:07.200,244.212,244030,DARKTRADE,244.207,244.217
2013-01-15,VODl.TQ,08:21:07.200,159.605,169400,X,159.6,159.61
2013-01-15,BARCl.CHI,08:21:36.000,242.288,400300,b,242.283,242.293
2013-01-15,VODl.TQ,08:21:36.000,160.494,892600,X,160.489,160.499
2013-01-15,BARC.L,08:22:04.800,247.084,54900,B,247.079,247.089
2013-01-15,VODl.CHI,08:22:04.800,160.274,131720,auc,160.269,160.279
2013-01-15,BARCl.CHI,08:22:33.600,243.38,56010,c,243.375,243.385
2013-01-15,VOD.L,08:22:33.600,162.568,36810,DARKTRADE,162.563,162.573
2013-01-15,BARC.TQ,08:23:02.400,245.077,251400,m,245.072,245.082
2013-01-15,VOD.L,08:23:02.400,159.112,827910,m,159.107,159.117
2013-01-15,BARC.TQ,08:23:31.200,246.979,609940,m,246.974,246.984
2013-01-15,VODl.TQ,08:23:31.200,159.258,159070,DARKTRADE,159.253,159.263
2013-01-15,BARC.L,08:24:00.000,240.936,944480,B,240.931,240.941
2013-01-15,VODl.CHI,08:24:00.000,159.5,39550,c,159.495,159.505
2013-01-15,BARCl.BS,08:24:28.800,244.683,711000,c,244.678,244.688
2013-01-15,VOD.L,08:24:28.800,162.955,878090,C,162.95,162.96
2013-01-15,BARCl.BS,08:24:57.600,245.538,209330,AUC,245.533,245.543
2013-01-15,VODl.CHI,08:24:57.600,159.272,969100,x,159.267,159.277
2013-01-15,BARCl.CHI,08:25:26.400,243.872,946000,a,243.867,243.877
2013-01-15,VODl.CHI,08:25:26.400,160.075,144050,a,160.07,160.08
2013-01-15,BARCl.CHI,08:25:55.200,243.538,270700,auc,243.533,243.543
2013-01-15,VODl.TQ,08:25:55.200,162.276,382010,m,162.271,162.281
2013-01-15,BARCl.BS,08:26:24.000,243.404,789430,B,243.399,243.409
2013-01-15,VODl.CHI,08:26:24.000,159.441,837800,x,159.436,159.446
2013-01-15,BARC.L,08:26:52.800,243.587,298830,DARKTRADE,243.582,243.592
2013-01-15,VODl.TQ,08:26:52.800,163.035,15960,m,163.03,163.04
2013-01-15,BARCl.BS,08:27:21.600,240.955,437300,A,240.95,240.96
2013-01-15,VODl.BS,08:27:21.600,161.1,937790,c,161.095,161.105
2013-01-15,BARCl.CHI,08:27:50.400,246.859,203780,auc,246.854,246.864
2013-01-15,VODl.CHI,08:27:50.400,159.936,772220,a,159.931,159.941
2013-01-15,BARC.L,08:28:19.200,246.854,812560,DARKTRADE,246.849,246.859
2013-01-15,VODl.TQ,08:28:19.200,161.09,507330,A,161.085,161.095
2013-01-15,BARCl.BS,08:28:48.000,245.437,972610,x,245.432,245.442
2013-01-15,VODl.CHI,08:28:48.000,159.809,841210,auc,159.804,159.814
2013-01-15,BARC.L,08:29:16.800,244.123,476540,m,244.118,244.128
2013-01-15,VODl.CHI,08:29:16.800,159.01,481900,x,159.005,159.015
2013-01-15,BARCl.CHI,08:29:45.600,240.999,455450,c,240.994,241.004
2013-01-15,VODl.TQ,08:29:45.600,161.554,97720,Auc,161.549,161.559
2013-01-15,BARC.TQ,08:30:14.400,242.233,332640,m,242.228,242.238
2013-01-15,VODl.TQ,08:30:14.400,160.66,83940,Auc,160.655,160.665
2013-01-15,BARC.TQ,08:30:43.200,242.907,276130,A,242.902,242.912
2013-01-15,VODl.TQ,08:30:43.200,162.854,997400,DARKTRADE,162.849,162.859
2013-01-15,BARCl.BS,08:31:12.000,241.004,181120,B,240.999,241.009
2013-01-15,VODl.BS,08:31:12.000,162.726,291210,x,162.721,162.731
2013-01-15,BARCl.BS,08:31:40.800,243.519,546380,AUC,243.514,243.524
2013-01-15,VODl.CHI,08:31:40.800,162.695,960020,c,162.69,162.7
2013-01-15,BARC.L,08:32:09.600,243.727,638350,m,243.722,243.732
2013-01-15,VOD.L,08:32:09.600,161.938,353430,DARKTRADE,161.933,161.943
2013-01-15,BARCl.BS,08:32:38.400,243.163,23180,x,243.158,243.168
2013-01-15,VODl.BS,08:32:38.400,160.535,970430,c,160.53,160.54
2013-01-15,BARC.TQ,08:33:07.200,243.827,956280,m,243.822,243.832
2013-01-15,VODl.BS,08:33:07.200,162.192,225890,A,162.187,162.197
2013-01-15,BARCl.BS,08:33:36.000,243.025,176140,DARK,243.02,243.03
2013-01-15,VODl.BS,08:33:36.000,163.011,966660,x,163.006,163.016
2013-01-15,BARCl.BS,08:34:04.800,245.616,626330,x,245.611,245.621
2013-01-15,VODl.BS,08:34:04.800,162.505,789400,x,162.5,162.51
2013-01-15,BARCl.BS,08:34:33.600,242.201,485650,DARK,242.196,242.206
2013-01-15,VODl.BS,08:34:33.600,162.914,425340,AUC,162.909,162.919
2013-01-15,BARC.L,08:35:02.400,244.397,680340,X,244.392,244.402
2013-01-15,VODl.TQ,08:35:02.400,161.976,241290,A,161.971,161.981
2013-01-15,BARCl.CHI,08:35:31.200,246.246,196430,c,246.241,246.251
2013-01-15,VODl.BS,08:35:31.200,162.44,266100,c,162.435,162.445
2013-01-15,BARC.L,08:36:00.000,246.676,79660,A,246.671,246.681
2013-01-15,VODl.BS,08:36:00.000,159.086,920280,x,159.081,159.091
2013-01-15,BARCl.CHI,08:36:28.800,245.704,661630,auc,245.699,245.709
2013-01-15,VODl.BS,08:36:28.800,160.501,296700,c,160.496,160.506
2013-01-15,BARCl.BS,08:36:57.600,242.341,159960,c,242.336,242.346
2013-01-15,VODl.TQ,08:36:57.600,161.639,144120,DARKTRADE,161.634,161.644
2013-01-15,BARCl.BS,08:37:26.400,242.373,285240,A,242.368,242.378
2013-01-15,VOD.L,08:37:26.400,163.025,326610,B,163.02,163.03
2013-01-15,BARCl.BS,08:37:55.200,240.936,273690,A,240.931,240.941
2013-01-15,VODl.CHI,08:37:55.200,159.686,625590,DRK,159.681,159.691
2013-01-15,BARC.TQ,08:38:24.000,246.761,812580,DARKTRADE,246.756,246.766
2013-01-15,VODl.TQ,08:38:24.000,161.119,320740,X,161.114,161.124
2013-01-15,BARCl.BS,08:38:52.800,242.095,190690,DARK,242.09,242.1
2013-01-15,VOD.L,08:38:52.800,159.785,425580,m,159.78,159.79
